state,action,action_name,policy_prob,empirical_prob,abs_diff
0,0,Up,0.032182410962691706,0.032,0.00018241096269170504
0,1,Down,0.0,0.0,0.0
0,2,Left,0.7910450010020923,0.7948,0.003754998997907655
0,3,Right,0.17677258803521614,0.1732,0.003572588035216151
1,0,Up,0.6872245349130865,0.6822,0.00502453491308652
1,1,Down,0.08580544256614943,0.0872,0.0013945574338505712
1,2,Left,0.05110009551006719,0.0535,0.002399904489932811
1,3,Right,0.17586992701069679,0.1771,0.0012300729893032214
2,0,Up,0.323573333453301,0.3218,0.0017733334533010514
2,1,Down,0.14828134405224216,0.1453,0.002981344052242152
2,2,Left,0.4478707883095262,0.4545,0.006629211690473813
2,3,Right,0.08027453418493066,0.0784,0.0018745341849306651
3,0,Up,0.44417529345825035,0.4386,0.005575293458250363
3,1,Down,0.2965451803135507,0.3008,0.004254819686449307
3,2,Left,0.15848376593344754,0.1574,0.001083765933447528
3,3,Right,0.10079576029475146,0.1032,0.0024042397052485426
4,0,Up,0.324878946489933,0.3223,0.0025789464899330095
4,1,Down,0.055238594142366884,0.0562,0.0009614058576331158
4,2,Left,0.12873638391298517,0.126,0.0027363839129851686
4,3,Right,0.49114607545471495,0.4955,0.004353924545285048
5,0,Up,0.1495322157636326,0.1467,0.0028322157636326006
5,1,Down,0.48636291482944943,0.4881,0.0017370851705505452
5,2,Left,0.27256897446603684,0.2717,0.0008689744660368426
5,3,Right,0.09153589494088103,0.0935,0.0019641050591189674
6,0,Up,0.2607391050650218,0.2575,0.0032391050650217856
6,1,Down,0.36279150078106,0.365,0.0022084992189400077
6,2,Left,0.1944330313806235,0.1975,0.003066968619376498
6,3,Right,0.18203636277329474,0.18,0.0020363627732947476
7,0,Up,0.22533799215125386,0.2158,0.009537992151253866
7,1,Down,0.07613194908521935,0.08,0.003868050914780652
7,2,Left,0.34193742882327294,0.3453,0.0033625711767270583
7,3,Right,0.3565926299402539,0.3589,0.0023073700597460722
8,0,Up,1.0,1.0,0.0
8,1,Down,0.0,0.0,0.0
8,2,Left,0.0,0.0,0.0
8,3,Right,0.0,0.0,0.0
9,0,Up,1.0,1.0,0.0
9,1,Down,0.0,0.0,0.0
9,2,Left,0.0,0.0,0.0
9,3,Right,0.0,0.0,0.0
10,0,Up,1.0,1.0,0.0
10,1,Down,0.0,0.0,0.0
10,2,Left,0.0,0.0,0.0
10,3,Right,0.0,0.0,0.0
11,0,Up,0.8060753418764921,0.8069,0.0008246581235078487
11,1,Down,0.11368415129782118,0.1138,0.00011584870217881682
11,2,Left,0.0,0.0,0.0
11,3,Right,0.08024050682568674,0.0793,0.0009405068256867488
12,0,Up,0.12248266889806342,0.1249,0.002417331101936579
12,1,Down,0.04394136276888766,0.0458,0.0018586372311123409
12,2,Left,0.36721021065764003,0.3639,0.0033102106576400336
12,3,Right,0.46636575767540894,0.4654,0.0009657576754089625
13,0,Up,0.14266042486812752,0.1429,0.00023957513187247703
13,1,Down,0.5023912644169425,0.5067,0.004308735583057555
13,2,Left,0.1993203503270456,0.1961,0.0032203503270455958
13,3,Right,0.15562796038788454,0.1543,0.001327960387884547
14,0,Up,0.39570078953784166,0.4025,0.006799210462158367
14,1,Down,0.22469018425041548,0.2193,0.005390184250415486
14,2,Left,0.01685716425898837,0.0153,0.0015571642589883705
14,3,Right,0.3627518619527544,0.3629,0.0001481380472456162
15,0,Up,0.1384107076499146,0.1378,0.0006107076499145825
15,1,Down,0.3358926324817734,0.3279,0.007992632481773398
15,2,Left,0.45172960064860074,0.4557,0.003970399351399256
15,3,Right,0.07396705921971122,0.0786,0.00463294078028878
16,0,Up,0.011439408972707323,0.0113,0.00013940897270732326
16,1,Down,0.21264857108906277,0.2144,0.0017514289109372416
16,2,Left,0.587119303727828,0.5881,0.0009806962721720103
16,3,Right,0.188792716210402,0.1862,0.0025927162104019963
17,0,Up,0.4749429241770638,0.4835,0.008557075822936189
17,1,Down,0.16783135178136618,0.1626,0.005231351781366189
17,2,Left,0.2928619905699483,0.2902,0.0026619905699483137
17,3,Right,0.06436373347162173,0.0637,0.0006637334716217275
18,0,Up,0.2992013299503194,0.3043,0.00509867004968062
18,1,Down,0.3171501751622969,0.3186,0.0014498248377031175
18,2,Left,0.2619507976841338,0.2512,0.01075079768413384
18,3,Right,0.12169769720325001,0.1259,0.004202302796750004
19,0,Up,0.0,0.0,0.0
19,1,Down,0.25349696569587254,0.2586,0.005103034304127452
19,2,Left,0.21818954719516973,0.2201,0.001910452804830265
19,3,Right,0.5283134871089578,0.5213,0.007013487108957772
20,0,Up,1.0,1.0,0.0
20,1,Down,0.0,0.0,0.0
20,2,Left,0.0,0.0,0.0
20,3,Right,0.0,0.0,0.0
